json_file,model_shortname,model,species,search_strategy,good_alat,good_energy_per_atom,spec_equil_alat,relative_difference_percent,good_curvature,num_nm_attempts,num_coarse_minima,num_accepted_candidates,num_rejected_candidates
Sim_LAMMPS_ADP_PunDarlingKecskes_2015_CuTa__SM_399364650444_000_Cu-Ta.json,ADP_PunDarlingKecskes,Sim_LAMMPS_ADP_PunDarlingKecskes_2015_CuTa__SM_399364650444_000,Cu,nelder_mead,3.6150037479638666,-3.5399999686575923,-1.0,,,1,4,0,0
Sim_LAMMPS_ADP_PunDarlingKecskes_2015_CuTa__SM_399364650444_000_Cu-Ta.json,ADP_PunDarlingKecskes,Sim_LAMMPS_ADP_PunDarlingKecskes_2015_CuTa__SM_399364650444_000,Ta,nelder_mead,4.245629902681641,-7.975703803658742,-1.0,,,1,1,0,0
Sim_LAMMPS_ADP_SmirnovaStarikovVlasova_2018_MgH__SM_899925688973_000_Mg-H.json,ADP_SmirnovaStarikovVlasova,Sim_LAMMPS_ADP_SmirnovaStarikovVlasova_2018_MgH__SM_899925688973_000,Mg,nelder_mead,4.523061478306641,-1.5209978083871347,-1.0,,,1,2,0,0
Sim_LAMMPS_ADP_SmirnovaStarikovVlasova_2018_MgH__SM_899925688973_000_Mg-H.json,ADP_SmirnovaStarikovVlasova,Sim_LAMMPS_ADP_SmirnovaStarikovVlasova_2018_MgH__SM_899925688973_000,H,nelder_mead,2.8151757812500002,-2.538075302577552,-1.0,,,1,3,0,0
Sim_LAMMPS_ADP_StarikovSmirnovaPradhan_2021_Fe__SM_906654900816_000_Fe.json,ADP_StarikovSmirnovaPradha,Sim_LAMMPS_ADP_StarikovSmirnovaPradhan_2021_Fe__SM_906654900816_000,Fe,nelder_mead,3.522525692841797,-4.283617417911362,-1.0,,,1,4,0,0
Sim_LAMMPS_AGNI_BotuBatraChapman_2017_Al__SM_666183636896_000_Al.json,AGNI_BotuBatraChapman,Sim_LAMMPS_AGNI_BotuBatraChapman_2017_Al__SM_666183636896_000,Al,nelder_mead_failed_no_led_fallback,-1.0,,-1.0,,,1,1,0,0
Sim_LAMMPS_AIREBO_LJ_StuartTuteinHarrison_2000_CH__SM_069621990420_000_C-H.json,AIREBO_LJ_StuartTuteinHarrison,Sim_LAMMPS_AIREBO_LJ_StuartTuteinHarrison_2000_CH__SM_069621990420_000,C,nelder_mead,2.6984244060516374,-2.760901681664294,-1.0,,,1,4,0,0
Sim_LAMMPS_AIREBO_LJ_StuartTuteinHarrison_2000_CH__SM_069621990420_000_C-H.json,AIREBO_LJ_StuartTuteinHarrison,Sim_LAMMPS_AIREBO_LJ_StuartTuteinHarrison_2000_CH__SM_069621990420_000,H,nelder_mead,2.2285473632812502,-0.3430000625238373,-1.0,,,1,2,0,0
Sim_LAMMPS_AIREBO_Morse_OConnorAndzelmRobbins_2015_CH__SM_460187474631_000_C-H.json,AIREBO_Morse_OConnorAndzelmRobbins,Sim_LAMMPS_AIREBO_Morse_OConnorAndzelmRobbins_2015_CH__SM_460187474631_000,C,nelder_mead,2.6981615066528324,-2.9350607914101525,-1.0,,,1,3,0,0
Sim_LAMMPS_AIREBO_Morse_OConnorAndzelmRobbins_2015_CH__SM_460187474631_000_C-H.json,AIREBO_Morse_OConnorAndzelmRobbins,Sim_LAMMPS_AIREBO_Morse_OConnorAndzelmRobbins_2015_CH__SM_460187474631_000,H,nelder_mead,2.228668212890625,-0.34043648029156914,-1.0,,,1,2,0,0
